manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
MFGE4FE/A,0013030011,42 運動錶帶 錨藍 SM MFGE4,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MFGF4FE/A,0013030012,42 運動錶帶 錨藍 ML MFGF4,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MFGG4FE/A,0013030013,42 運動錶帶 霧紫 SM MFGG4,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MFGH4FE/A,0013030014,42 運動錶帶 霧紫 ML MFGH4,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MFGV4FE/A,0013030015,46 運動錶帶 霓虹黃 SM MFGV4,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MFGW4FE/A,0013030016,46 運動錶帶 霓虹黃 ML MFGW4,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MFGX4FE/A,0013030017,46 運動錶帶 錨藍 SM MFGX4,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MFGY4FE/A,0013030018,46 運動錶帶 錨藍 ML MFGY4,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MFH04FE/A,0013030019,46 運動錶帶 霧紫 SM MFH04,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MFH14FE/A,0013030020,46 運動錶帶 霧紫 ML MFH14,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MFT44FE/A,0013030021,49 原鈦越野錶環 綠 SM MFT44,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MFT54FE/A,0013030022,49 原鈦越野錶環 綠 ML MFT54,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MFT64FE/A,0013030023,49 原鈦越野錶環 藍 SM MFT64,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MFT74FE/A,0013030024,49 原鈦越野錶環 藍 ML MFT74,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MFT84FE/A,0013030025,49 原鈦越野錶環 黑 SM MFT84,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MFT94FE/A,0013030026,49 原鈦越野錶環 黑 ML MFT94,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MFTA4FE/A,0013030027,49 原鈦高山錶環 赤陶 S MFTA4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTC4FE/A,0013030028,49 原鈦高山錶環 赤陶 M MFTC4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTD4FE/A,0013030029,49 原鈦高山錶環 赤陶 L MFTD4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTE4FE/A,0013030030,49 原鈦高山錶環 黑 S MFTE4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTF4FE/A,0013030031,49 原鈦高山錶環 黑 M MFTF4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTG4FE/A,0013030032,49 原鈦高山錶環 黑 L MFTG4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTH4FE/A,0013030033,49 原鈦高山錶環 淡藍 S MFTH4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTJ4FE/A,0013030034,49 原鈦高山錶環 淡藍 M MFTJ4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MFTK4FE/A,0013030035,49 原鈦高山錶環 淡藍 L MFTK4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9D4FE/A,0013030036,49 黑鈦高山錶環 赤陶 S MG9D4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9E4FE/A,0013030037,49 黑鈦高山錶環 赤陶 M MG9E4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9F4FE/A,0013030038,49 黑鈦高山錶環 赤陶 L MG9F4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9G4FE/A,0013030039,49 黑鈦高山錶環 黑 S MG9G4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9H4FE/A,0013030040,49 黑鈦高山錶環 黑 M MG9H4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9J4FE/A,0013030041,49 黑鈦高山錶環 黑 L MG9J4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9K4FE/A,0013030042,49 黑鈦高山錶環 淡藍 S MG9K4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9L4FE/A,0013030043,49 黑鈦高山錶環 淡藍 M MG9L4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9M4FE/A,0013030044,49 黑鈦高山錶環 淡藍 L MG9M4,Accy,*Apple Watch Accy,Band 49mm Alpine Loop,3100
MG9N4FE/A,0013030045,49 黑鈦越野錶環 綠 SM MG9N4,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MG9P4FE/A,0013030046,49 黑鈦越野錶環 綠 ML MG9P4,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MG9Q4FE/A,0013030047,49 黑鈦越野錶環 藍 SM MG9Q4,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MG9R4FE/A,0013030048,49 黑鈦越野錶環 藍 ML MG9R4,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MG9T4FE/A,0013030049,49 黑鈦越野錶環 黑 SM MG9T4,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MG9U4FE/A,0013030050,49 黑鈦越野錶環 黑 ML MG9U4,Accy,*Apple Watch Accy,Band 49mm Trail Loop,3100
MG9V4FE/A,0013030051,40 N 運動錶帶 螢光綠 SM MG9V4,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MG9W4FE/A,0013030052,40 N 運動錶帶 螢光綠 ML MG9W4,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MG9X4FE/A,0013030053,40 N 運動錶帶 午夜黑 SM MG9X4,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MG9Y4FE/A,0013030054,40 N 運動錶帶 午夜黑 ML MG9Y4,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA04FE/A,0013030055,40 N 運動錶帶 朦朧灰 SM MGA04,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA34FE/A,0013030056,40 N 運動錶帶 朦朧灰 ML MGA34,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA44FE/A,0013030057,40 N 運動錶帶 峰霞粉 SM MGA44,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA64FE/A,0013030058,40 N 運動錶帶 峰霞粉 ML MGA64,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA74FE/A,0013030059,40 N 運動錶帶 藍帶 SM MGA74,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA84FE/A,0013030060,40 N 運動錶帶 藍帶 ML MGA84,Accy,*Apple Watch Accy,Band 40mm Nike Sport,1600
MGA94FE/A,0013030061,42 N 運動錶帶 螢光綠 SM MGA94,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAA4FE/A,0013030062,42 N 運動錶帶 螢光綠 ML MGAA4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAE4FE/A,0013030063,42 N 運動錶帶 午夜黑 SM MGAE4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAF4FE/A,0013030064,42 N 運動錶帶 午夜黑 ML MGAF4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAH4FE/A,0013030065,42 N 運動錶帶 朦朧灰 SM MGAH4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAJ4FE/A,0013030066,42 N 運動錶帶 朦朧灰 ML MGAJ4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAQ4FE/A,0013030067,42 N 運動錶帶 峰霞粉 SM MGAQ4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAU4FE/A,0013030068,42 N 運動錶帶 峰霞粉 ML MGAU4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAV4FE/A,0013030069,42 N 運動錶帶 藍帶 SM MGAV4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGAX4FE/A,0013030070,42 N 運動錶帶 藍帶 ML MGAX4,Accy,*Apple Watch Accy,Band 42mm Nike Sport,1600
MGC04FE/A,0013030071,46 N 運動錶帶 螢光綠 SM MGC04,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC14FE/A,0013030072,46 N 運動錶帶 螢光綠 ML MGC14,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC24FE/A,0013030073,46 N 運動錶帶 午夜黑 SM MGC24,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC34FE/A,0013030074,46 N 運動錶帶 午夜黑 ML MGC34,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC44FE/A,0013030075,46 N 運動錶帶 朦朧灰 SM MGC44,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC54FE/A,0013030076,46 N 運動錶帶 朦朧灰 ML MGC54,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC64FE/A,0013030077,46 N 運動錶帶 峰霞粉 SM MGC64,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC74FE/A,0013030078,46 N 運動錶帶 峰霞粉 ML MGC74,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGC94FE/A,0013030079,46 N 運動錶帶 藍帶 SM MGC94,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGCA4FE/A,0013030080,46 N 運動錶帶 藍帶 ML MGCA4,Accy,*Apple Watch Accy,Band 46mm Nike Sport,1600
MGCC4FE/A,0013030081,49 原鈦海洋錶帶 錨藍 MGCC4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MGCE4FE/A,0013030082,49 原鈦海洋錶帶延伸 錨藍 MGCE4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,1600
MGCF4FE/A,0013030083,49 原鈦海洋錶帶 霓虹綠 MGCF4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MGCG4FE/A,0013030084,49 原鈦海洋錶帶延伸 霓虹綠 MGCG4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,1600
MGCJ4FE/A,0013030085,49 黑鈦海洋錶帶 錨藍 MGCJ4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MGCK4FE/A,0013030086,49 黑鈦海洋錶帶延伸 錨藍 MGCK4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,1600
MGCL4FE/A,0013030087,49 黑鈦海洋錶帶 霓虹綠 MGCL4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MGCM4FE/A,0013030088,49 黑鈦海洋錶帶延伸 霓虹綠 MGCM4,Accy,*Apple Watch Accy,Band 49mm Ocean Band,1600
MGCN4FE/A,0013030089,40 N 運動錶環 螢光綠 MGCN4,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MGCP4FE/A,0013030090,40 N 運動錶環 午夜黑 MGCP4,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MGCQ4FE/A,0013030091,40 N 運動錶環 朦朧灰 MGCQ4,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MGCR4FE/A,0013030092,40 N 運動錶環 峰霞粉 MGCR4,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MGCT4FE/A,0013030093,40 N 運動錶環 藍帶 MGCT4,Accy,*Apple Watch Accy,Band 40mm Nike Sport Loop,1600
MGCW4FE/A,0013030094,42 N 運動錶環 螢光綠 MGCW4,Accy,*Apple Watch Accy,Band 42mm Nike Sport Loop,1600
MGCX4FE/A,0013030095,42 N 運動錶環 午夜黑 MGCX4,Accy,*Apple Watch Accy,Band 42mm Nike Sport Loop,1600
MGCY4FE/A,0013030096,42 N 運動錶環 朦朧灰 MGCY4,Accy,*Apple Watch Accy,Band 42mm Nike Sport Loop,1600
MGD04FE/A,0013030097,42 N 運動錶環 峰霞粉 MGD04,Accy,*Apple Watch Accy,Band 42mm Nike Sport Loop,1600
MGD14FE/A,0013030098,42 N 運動錶環 藍帶 MGD14,Accy,*Apple Watch Accy,Band 42mm Nike Sport Loop,1600
MGD24FE/A,0013030099,46 N 運動錶環 螢光綠 MGD24,Accy,*Apple Watch Accy,Band 46mm Nike Sport Loop,1600
MGD34FE/A,0013030100,46 N 運動錶環 午夜黑 MGD34,Accy,*Apple Watch Accy,Band 46mm Nike Sport Loop,1600
MGD44FE/A,0013030101,46 N 運動錶環 朦朧灰 MGD44,Accy,*Apple Watch Accy,Band 46mm Nike Sport Loop,1600
MGD54FE/A,0013030102,46 N 運動錶環 峰霞粉 MGD54,Accy,*Apple Watch Accy,Band 46mm Nike Sport Loop,1600
MGD64FE/A,0013030103,46 N 運動錶環 藍帶 MGD64,Accy,*Apple Watch Accy,Band 46mm Nike Sport Loop,1600
MGD84FE/A,0013030104,42 磁鏈錶帶 焦糖 S/M MGD84,Accy,*Apple Watch Accy,Band 42mm Magnetic Link,3100
MGD94FE/A,0013030105,42 磁鏈錶帶 焦糖 M/L MGD94,Accy,*Apple Watch Accy,Band 42mm Magnetic Link,3100
MGDA4FE/A,0013030106,42 磁鏈錶帶 軍藍 S/M MGDA4,Accy,*Apple Watch Accy,Band 42mm Magnetic Link,3100
MGDC4FE/A,0013030107,42 磁鏈錶帶 軍藍 M/L MGDC4,Accy,*Apple Watch Accy,Band 42mm Magnetic Link,3100
MGDD4FE/A,0013030108,42 磁鏈錶帶 鼠尾灰 S/M MGDD4,Accy,*Apple Watch Accy,Band 42mm Magnetic Link,3100
MGDE4FE/A,0013030109,42 磁鏈錶帶 鼠尾灰 M/L MGDE4,Accy,*Apple Watch Accy,Band 42mm Magnetic Link,3100
MGDF4FE/A,0013030110,46 磁鏈錶帶 焦糖 S/M MGDF4,Accy,*Apple Watch Accy,Band 46mm Magnetic Link,3100
MGDG4FE/A,0013030111,46 磁鏈錶帶 焦糖 M/L MGDG4,Accy,*Apple Watch Accy,Band 46mm Magnetic Link,3100
MGDH4FE/A,0013030112,46 磁鏈錶帶 軍藍 S/M MGDH4,Accy,*Apple Watch Accy,Band 46mm Magnetic Link,3100
MGDJ4FE/A,0013030113,46 磁鏈錶帶 軍藍 M/L MGDJ4,Accy,*Apple Watch Accy,Band 46mm Magnetic Link,3100
MGDK4FE/A,0013030114,46 磁鏈錶帶 鼠尾灰 S/M MGDK4,Accy,*Apple Watch Accy,Band 46mm Magnetic Link,3100
MGDL4FE/A,0013030115,46 磁鏈錶帶 鼠尾灰 M/L MGDL4,Accy,*Apple Watch Accy,Band 46mm Magnetic Link,3100
MGG34FE/A,0013030116,42 時尚環扣 焦糖 S MGG34,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGG44FE/A,0013030117,42 時尚環扣 焦糖 M MGG44,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGG54FE/A,0013030118,42 時尚環扣 焦糖 L MGG54,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGG64FE/A,0013030119,42 時尚環扣 午紫 S MGG64,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGG74FE/A,0013030120,42 時尚環扣 午紫 M MGG74,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGG84FE/A,0013030121,42 時尚環扣 午紫 L MGG84,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGG94FE/A,0013030122,42 時尚環扣 鼠尾灰 S MGG94,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGGA4FE/A,0013030123,42 時尚環扣 鼠尾灰 M MGGA4,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGGC4FE/A,0013030124,42 時尚環扣 鼠尾灰 L MGGC4,Accy,*Apple Watch Accy,Band 42mm Modern Buckle,4600
MGHN4FE/A,0013030125,49 原鈦米蘭錶環 S MGHN4,Accy,*Apple Watch Accy,Band 49mm Milanese,6100
MGHP4FE/A,0013030126,49 原鈦米蘭錶環 M MGHP4,Accy,*Apple Watch Accy,Band 49mm Milanese,6100
MGHQ4FE/A,0013030127,49 原鈦米蘭錶環 L MGHQ4,Accy,*Apple Watch Accy,Band 49mm Milanese,6100
MGHR4FE/A,0013030128,49 黑鈦米蘭錶環 S MGHR4,Accy,*Apple Watch Accy,Band 49mm Milanese,6100
MGHT4FE/A,0013030129,49 黑鈦米蘭錶環 M MGHT4,Accy,*Apple Watch Accy,Band 49mm Milanese,6100
MGHU4FE/A,0013030130,49 黑鈦米蘭錶環 L MGHU4,Accy,*Apple Watch Accy,Band 49mm Milanese,6100
MGHV4FE/A,0013030131,40 原米蘭錶環 MGHV4,Accy,*Apple Watch Accy,Band 40mm Milanese,3100
MGHW4FE/A,0013030132,40 金米蘭錶環 MGHW4,Accy,*Apple Watch Accy,Band 40mm Milanese,3100
MGHX4FE/A,0013030133,40 石米蘭錶環 MGHX4,Accy,*Apple Watch Accy,Band 40mm Milanese,3100
MGHY4FE/A,0013030134,42 原米蘭錶環 MGHY4,Accy,*Apple Watch Accy,Band 42mm Milanese,3100
MGJ04FE/A,0013030135,42 金米蘭錶環 MGJ04,Accy,*Apple Watch Accy,Band 42mm Milanese,3100
MGJ14FE/A,0013030136,42 石米蘭錶環 MGJ14,Accy,*Apple Watch Accy,Band 42mm Milanese,3100
MGJ24FE/A,0013030137,46 原米蘭錶環 S/M MGJ24,Accy,*Apple Watch Accy,Band 46mm Milanese,3100
MGJ34FE/A,0013030138,46 原米蘭錶環 M/L MGJ34,Accy,*Apple Watch Accy,Band 46mm Milanese,3100
MGJ44FE/A,0013030139,46 金米蘭錶環 S/M MGJ44,Accy,*Apple Watch Accy,Band 46mm Milanese,3100
MGJ54FE/A,0013030140,46 金米蘭錶環 M/L MGJ54,Accy,*Apple Watch Accy,Band 46mm Milanese,3100
MGJ64FE/A,0013030141,46 石米蘭錶環 S/M MGJ64,Accy,*Apple Watch Accy,Band 46mm Milanese,3100
MGJ74FE/A,0013030142,46 石米蘭錶環 M/L MGJ74,Accy,*Apple Watch Accy,Band 46mm Milanese,3100
MGXU4FE/A,0013030143,41 運動錶環 驕傲 MGXU4,Accy,*Apple Watch Accy,Band 41mm Sport Loop,1600
MGXV4FE/A,0013030144,45 運動錶環 驕傲 MGXV4,Accy,*Apple Watch Accy,Band 45mm Sport Loop,1600
SYLW2TA/A,0013030145,AC+ for AirPods Pro 3 SYLW2T,Care,ACPP+,AirPods ACPP+,1290
SWXT2TA/A,0013030146,AC+ for iPhone 17 SWXT2,Care,ACPP+,iPhone 17 ACPP+,4890
SWXY2TA/A,0013030147,AC+ for iPhone Air SWXY2,Care,ACPP+,iPhone Air ACPP+,6390
SWY42TA/A,0013030148,AC+ for iPhone 17 Pro SWY42,Care,ACPP+,iPhone 17 Pro ACPP+,6390
SWY92TA/A,0013030149,AC+ for iPhone 17 PM SWY92,Care,ACPP+,iPhone 17 PM ACPP+,6390
SXHW2TA/A,0013030150,AC+ for AW SE 3 SXHW2,Care,ACPP+,AW SE 3 ACPP+,1690
SXCJ2TA/A,0013030151,AC+ for AW S11 SXCJ2,Care,ACPP+,AW S11 ACPP+,2590
SXCK2TA/A,0013030152,AC+ for AW Ultra 3 SXCK2,Care,ACPP+,AW Ultra ACPP+,3190
SXAF2TA/A,0013030153,AC+ for AW Hermes S11 SXAF2,Care,ACPP+,AW S11 ACPP+,4790
SXAQ2TA/A,0013030154,AC+ for AW Hermes Ultra 3 SXAQ2,Care,ACPP+,AW Ultra ACPP+,4790
Z1EP,0013030468,M4 iMac 24 10C 24 256 藍 Z1EP,CPU,IMAC,iMac 24 M4 256G,58900
MDE04TA/A,0013030482,MBP 14 10C/16GB/512GB 黑 MDE04,CPU,MBP 14 M5,MacBook Pro M5 16G 512G 黑,52900
MDE14TA/A,0013030483,MBP 14 10C/16GB/1TB 黑 MDE14,CPU,MBP 14 M5,MacBook Pro M5 16G 1T 黑,59900
MDE34TA/A,0013030484,MBP 14 10C/24GB/1TB 黑 MDE34,CPU,MBP 14 M5,MacBook Pro M5 24G 1T 黑,66900
MDE44TA/A,0013030485,MBP 14 10C/16GB/512GB 銀 MDE44,CPU,MBP 14 M5,MacBook Pro M5 16G 512G 銀,52900
MDE54TA/A,0013030486,MBP 14 10C/16GB/1TB 銀 MDE54,CPU,MBP 14 M5,MacBook Pro M5 16G 1T 銀,59900
MDE64TA/A,0013030487,MBP 14 10C/24GB/1TB 銀 MDE64,CPU,MBP 14 M5,MacBook Pro M5 16G 1T 銀,66900
MDWK4TA/A,0013030488,iPad Pro 11 WIFI 256 黑 MDWK4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 黑,32900
MDWL4TA/A,0013030489,iPad Pro 11 WIFI 256 銀 MDWL4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 銀,32900
MDWM4TA/A,0013030490,iPad Pro 11 WIFI 512 黑 MDWM4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 黑,39900
MDWN4TA/A,0013030491,iPad Pro 11 WIFI 512 銀 MDWN4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 銀,39900
MDWP4TA/A,0013030492,iPad Pro 11 WIFI 1TB 黑 MDWP4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 黑,53900
MDWQ4TA/A,0013030493,iPad Pro 11 WIFI 1TB 銀 MDWQ4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 銀,53900
MDWR4TA/A,0013030494,iPad Pro 11 WIFI 1TB 黑 MDWR4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 黑,57400
MDWT4TA/A,0013030495,iPad Pro 11 WIFI 1TB 銀 MDWT4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 銀,57400
MDWU4TA/A,0013030496,iPad Pro 11 WIFI 2TB 黑 MDWU4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 黑,67900
MDWV4TA/A,0013030497,iPad Pro 11 WIFI 2TB 銀 MDWV4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 銀,67900
MDWW4TA/A,0013030498,iPad Pro 11 WIFI 2TB 黑 MDWW4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 黑,71400
MDWX4TA/A,0013030499,iPad Pro 11 WIFI 2TB 銀 MDWX4,iPad,iPad Pro 11(M5),Wi-Fi iPad Pro 11 銀,71400
MDYJ4TA/A,0013030500,iPad Pro 13 WIFI 256 黑 MDYJ4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 黑,43900
MDYK4TA/A,0013030501,iPad Pro 13 WIFI 256 銀 MDYK4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 銀,43900
MDYL4TA/A,0013030502,iPad Pro 13 WIFI 512 黑 MDYL4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 黑,50900
MDYM4TA/A,0013030503,iPad Pro 13 WIFI 512 銀 MDYM4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 銀,50900
MDYN4TA/A,0013030504,iPad Pro 13 WIFI 1TB 黑 MDYN4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 黑,64900
MDYP4TA/A,0013030505,iPad Pro 13 WIFI 1TB 銀 MDYP4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 銀,64900
MDYQ4TA/A,0013030506,iPad Pro 13 WIFI 1TB 黑 MDYQ4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 黑,68400
MDYR4TA/A,0013030507,iPad Pro 13 WIFI 1TB 銀 MDYR4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 銀,68400
MDYT4TA/A,0013030508,iPad Pro 13 WIFI 2TB黑 MDYT4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 黑,78900
MDYU4TA/A,0013030509,iPad Pro 13 WIFI 2TB 銀 MDYU4,iPad,iPad Pro 13(M5),Wi-Fi iPad Pro 13 銀,78900
MDYV4TA/A,0013030510,iPad Pro 13 WIFI 2TB 黑 MDYV4,iPad,iPad Pro 11(M4),Wi-Fi iPad Pro 11 銀,82400
MDYW4TA/A,0013030511,iPad Pro 13 WIFI 2TB 銀 MDYW4,iPad,iPad Pro 11(M4),Cellular iPad Pro 11 黑,82400
ME2N4TA/A,0013030512,iPad Pro 11 CL 256 黑 ME2N4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,39900
ME2P4TA/A,0013030513,iPad Pro 11 CL 256 銀 ME2P4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 銀,39900
ME2Q4TA/A,0013030514,iPad Pro 11 CL 512 黑 ME2Q4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,46900
ME2T4TA/A,0013030515,iPad Pro 11 CL 512 銀 ME2T4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,46900
ME2U4TA/A,0013030516,iPad Pro 11 CL 1TB 黑 ME2U4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,60900
ME2V4TA/A,0013030517,iPad Pro 11 CL 1TB 銀 ME2V4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,60900
ME2W4TA/A,0013030518,iPad Pro 11 CL 1TB 黑 ME2W4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,64400
ME2X4TA/A,0013030519,iPad Pro 11 CL 1TB 銀 ME2X4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,64400
ME2Y4TA/A,0013030520,iPad Pro 11 CL 2TB 黑 ME2Y4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,74900
ME6A4TA/A,0013030521,iPad Pro 11 CL 2TB 銀 ME6A4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,74900
ME6C4TA/A,0013030522,iPad Pro 11 CL 2TB 黑 ME6C4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 黑,78400
ME6D4TA/A,0013030523,iPad Pro 11 CL 2TB 銀 ME6D4,iPad,iPad Pro 11(M5),Cellular iPad Pro 11 銀,78400
ME7W4TA/A,0013030524,iPad Pro 13 CL 256 黑 ME7W4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 黑,50900
ME7X4TA/A,0013030525,iPad Pro 13 CL 256 銀 ME7X4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 銀,50900
ME7Y4TA/A,0013030526,iPad Pro 13 CL 512 黑 ME7Y4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 黑,57900
ME8C4TA/A,0013030527,iPad Pro 13 CL 512 銀 ME8C4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 銀,57900
ME8D4TA/A,0013030528,iPad Pro 13 CL 1TB 黑 ME8D4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 黑,71900
ME8F4TA/A,0013030529,iPad Pro 13 CL 1TB 銀 ME8F4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 銀,71900
ME8G4TA/A,0013030530,iPad Pro 13 CL 1TB 黑 ME8G4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 黑,75400
ME8H4TA/A,0013030531,iPad Pro 13 CL 1TB 銀 ME8H4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 銀,75400
ME8J4TA/A,0013030532,iPad Pro 13 CL 2TB 黑 ME8J4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 黑,85900
ME8K4TA/A,0013030533,iPad Pro 13 CL 2TB 銀 ME8K4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 銀,85900
